date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
01.09.2019/2020,River Plate,0,,Boca Juniors,0,,Superliga
01.09.2019/2020,Newells Old Boys,4,,Huracan,1,,Superliga
01.09.2019/2020,Talleres Cordoba,2,,Aldosivi,1,,Superliga
01.09.2019/2020,Atl. Tucuman,1,,Arsenal Sarandi,0,,Superliga
01.09.2019/2020,Colon Santa FE,1,,Rosario Central,1,,Superliga
31.08.2019/2020,Racing Club,3,,Godoy Cruz,1,,Superliga
31.08.2019/2020,Patronato,1,,Independiente,0,,Superliga
31.08.2019/2020,San Lorenzo,2,,Union de Santa Fe,1,,Superliga
31.08.2019/2020,Argentinos Jrs,1,,Gimnasia L.P.,0,,Superliga
30.08.2019/2020,Defensa y Justicia,0,,Banfield,0,,Superliga
30.08.2019/2020,Estudiantes L.P.,0,,Velez Sarsfield,1,,Superliga
30.08.2019/2020,Lanus,1,,Central Cordoba,0,,Superliga
26.08.2019/2020,Huracan,0,,Argentinos Jrs,0,,Superliga
26.08.2019/2020,Aldosivi,3,,Atl. Tucuman,0,,Superliga
25.08.2019/2020,Banfield,0,,Boca Juniors,1,,Superliga
25.08.2019/2020,River Plate,0,,Talleres Cordoba,1,,Superliga
25.08.2019/2020,Central Cordoba,0,,Racing Club,0,,Superliga
25.08.2019/2020,Union de Santa Fe,1,,Lanus,2,,Superliga
25.08.2019/2020,Godoy Cruz,2,,Estudiantes L.P.,1,,Superliga
24.08.2019/2020,Independiente,2,,Colon Santa FE,0,,Superliga
24.08.2019/2020,Rosario Central,1,,Patronato,1,,Superliga
24.08.2019/2020,Velez Sarsfield,3,,Newells Old Boys,1,,Superliga
24.08.2019/2020,Gimnasia L.P.,0,,Defensa y Justicia,1,,Superliga
23.08.2019/2020,Arsenal Sarandi,0,,San Lorenzo,2,,Superliga
19.08.2019/2020,Estudiantes L.P.,3,,Independiente,0,,Superliga
19.08.2019/2020,Colon Santa FE,2,,Gimnasia L.P.,1,,Superliga
19.08.2019/2020,Atl. Tucuman,1,,Godoy Cruz,0,,Superliga
18.08.2019/2020,Boca Juniors,2,,Aldosivi,0,,Superliga
18.08.2019/2020,Lanus,3,,Velez Sarsfield,1,,Superliga
18.08.2019/2020,Defensa y Justicia,0,,Arsenal Sarandi,3,,Superliga
18.08.2019/2020,Patronato,2,,Huracan,1,,Superliga
17.08.2019/2020,Racing Club,1,,River Plate,6,,Superliga
17.08.2019/2020,San Lorenzo,2,,Rosario Central,2,,Superliga
17.08.2019/2020,Newells Old Boys,2,,Union de Santa Fe,0,,Superliga
16.08.2019/2020,Talleres Cordoba,1,,Central Cordoba,1,,Superliga
16.08.2019/2020,Argentinos Jrs,3,,Banfield,2,,Superliga
05.08.2019/2020,Godoy Cruz,0,,Arsenal Sarandi,2,,Superliga
04.08.2019/2020,Patronato,0,,Boca Juniors,2,,Superliga
04.08.2019/2020,River Plate,3,,Lanus,0,,Superliga
04.08.2019/2020,Banfield,1,,Estudiantes L.P.,0,,Superliga
04.08.2019/2020,Gimnasia L.P.,0,,San Lorenzo,1,,Superliga
04.08.2019/2020,Union de Santa Fe,2,,Defensa y Justicia,1,,Superliga
03.08.2019/2020,Velez Sarsfield,2,,Racing Club,2,,Superliga
03.08.2019/2020,Central Cordoba,1,,Atl. Tucuman,0,,Superliga
03.08.2019/2020,Rosario Central,1,,Talleres Cordoba,0,,Superliga
03.08.2019/2020,Aldosivi,0,,Argentinos Jrs,0,,Superliga
02.08.2019/2020,Huracan,2,,Colon Santa FE,0,,Superliga
29.07.2019/2020,Atl. Tucuman,1,,Rosario Central,2,,Superliga
29.07.2019/2020,Arsenal Sarandi,1,,Banfield,0,,Superliga
28.07.2019/2020,Boca Juniors,0,,Huracan,0,,Superliga
28.07.2019/2020,Defensa y Justicia,0,,Independiente,1,,Superliga
28.07.2019/2020,Talleres Cordoba,1,,Velez Sarsfield,0,,Superliga
28.07.2019/2020,Newells Old Boys,2,,Central Cordoba,0,,Superliga
28.07.2019/2020,Estudiantes L.P.,1,,Aldosivi,0,,Superliga
27.07.2019/2020,Argentinos Jrs,1,,River Plate,1,,Superliga
27.07.2019/2020,Lanus,1,,Gimnasia L.P.,1,,Superliga
27.07.2019/2020,San Lorenzo,3,,Godoy Cruz,2,,Superliga
27.07.2019/2020,Colon Santa FE,0,,Patronato,1,,Superliga
26.07.2019/2020,Racing Club,0,,Union de Santa Fe,0,,Superliga
28.08.2019,Arsenal Sarandi,2,,CA Estudiantes,3,,Copa Argentina
28.08.2019,Patronato,0,,Independiente,1,,Copa Argentina
28.08.2019,Sol de Mayo,0,,Colon Santa FE,4,,Copa Argentina
21.08.2019,San Martin T.,0,0.0,Argentinos Jrs,1,0.0,Copa Argentina
21.08.2019,All Boys,0,,Central Cordoba,1,,Copa Argentina
13.08.2019,Boca Juniors,1,1.0,Almagro,2,1.0,Copa Argentina
03.08.2019,Villa Mitre,1,,San Martin S.J.,0,,Copa Argentina
27.07.2019,Belgrano,0,,Real Pilar,1,,Copa Argentina
21.07.2019,Racing Club,0,0.0,Boca Unidos,1,0.0,Copa Argentina
20.07.2019,Lanus,1,,Ind. Rivadavia,0,,Copa Argentina
20.07.2019,Gimnasia L.P.,1,1.0,Defensa y Justicia,2,1.0,Copa Argentina
20.07.2019,CA Mitre,0,,Estudiantes L.P.,2,,Copa Argentina
16.07.2019,Gimnasia Mendoza,1,1.0,River Plate,2,1.0,Copa Argentina
14.07.2019,Huracan,1,1.0,Godoy Cruz,2,1.0,Copa Argentina
22.05.2019,San Lorenzo,0,,Sportivo Estudiantes,2,,Copa Argentina
22.05.2019,Estudiantes L.P.,5,,Sarmiento Resistencia,1,,Copa Argentina
15.05.2019,Huracan,2,,Union Sunchales,0,,Copa Argentina
08.05.2019,Belgrano,3,,Dep. Riestra,0,,Copa Argentina
25.04.2019,Union de Santa Fe,0,,Barracas Central,1,,Copa Argentina
24.04.2019,Colon Santa FE,3,,Acassuso,0,,Copa Argentina
23.04.2019,Ind. Rivadavia,1,,Midland,0,,Copa Argentina
19.04.2019,Boca Juniors,2,,Estudiantes Rio Cuarto,0,,Copa Argentina
17.04.2019,River Plate,3,,Argentino de Merlo,0,,Copa Argentina
17.04.2019,CA Mitre,1,,Deportivo Roca,0,,Copa Argentina
16.04.2019,Defensa y Justicia,1,,Gimnasia y Tiro,0,,Copa Argentina
10.04.2019,Arsenal Sarandi,2,,Atletico Atlanta,0,,Copa Argentina
03.04.2019,Nueva Chicago,0,,Central Cordoba,1,,Copa Argentina
27.03.2019,Sarmiento Junin,0,,All Boys,2,,Copa Argentina
25.03.2019,Talleres Cordoba,5,,Laferrere,0,,Copa Argentina
24.03.2019,Newells Old Boys,1,,Villa Mitre,2,,Copa Argentina
23.03.2019,Godoy Cruz,2,,Deportivo Armenio,1,,Copa Argentina
21.03.2019,Lanus,2,,Huracan Las Heras,0,,Copa Argentina
21.03.2019,Gimnasia L.P.,1,0.0,Defensores Belgrano VR,0,0.0,Copa Argentina
20.03.2019,Atl. Tucuman,1,,Platense,0,,Copa Argentina
20.03.2019,San Martin S.J.,1,,Villa Dalmine,0,,Copa Argentina
19.03.2019,Aldosivi,0,,Gimnasia Mendoza,1,,Copa Argentina
13.03.2019,Patronato,2,1.0,Dock Sud,1,1.0,Copa Argentina
07.03.2019,Velez Sarsfield,0,,Real Pilar,1,,Copa Argentina
07.03.2019,Almagro,2,1.0,Atl. Rafaela,1,1.0,Copa Argentina
06.03.2019,San Martin T.,3,2.0,Agropecuario,2,2.0,Copa Argentina
