,date,t1,id1,g1,g2,id2,t2,tourn
1823,2012.09.19,Barcelona SC,503,4,3,305,Cobreloa,Copa Sudamericana
1824,2012.09.20,Liverpool M.,814,1,0,413,Envigado,Copa Sudamericana
1825,2012.09.25,Dep. Quito,508,2,0,39,Tigre,Copa Sudamericana
1826,2012.09.25,Independiente,22,2,1,814,Liverpool M.,Copa Sudamericana
1827,2012.09.26,Santos,237,2,0,330,U. De Chile,Recopa Sudamericana
1828,2012.09.26,Barcelona SC,503,0,1,224,Gremio,Copa Sudamericana
1829,2012.09.26,LDU Loja,516,1,1,239,Sao Paulo,Copa Sudamericana
1830,2012.09.27,Colon Santa FE,13,1,2,604,Cerro Porteno,Copa Sudamericana
1831,2012.10.02,Palmeiras,230,3,1,421,Millonarios,Copa Sudamericana
1832,2012.10.02,U. De Chile,330,2,2,510,Emelec,Copa Sudamericana
1833,2012.10.03,U. Catolica,329,2,0,204,Atletico GO,Copa Sudamericana
1834,2012.10.23,Cerro Porteno,604,2,1,13,Colon Santa FE,Copa Sudamericana
1835,2012.10.23,Millonarios,421,3,0,230,Palmeiras,Copa Sudamericana
1836,2012.10.24,Atletico GO,204,3,1,329,U. Catolica,Copa Sudamericana
1837,2012.10.24,Sao Paulo,239,0,0,516,LDU Loja,Copa Sudamericana
1838,2012.10.24,Gremio,224,2,1,503,Barcelona SC,Copa Sudamericana
1839,2012.10.25,Liverpool M.,814,1,2,22,Independiente,Copa Sudamericana
1840,2012.10.25,Tigre,39,4,0,508,Dep. Quito,Copa Sudamericana
1841,2012.10.25,Emelec,510,0,1,330,U. De Chile,Copa Sudamericana
1842,2012.10.30,Gremio,224,1,0,421,Millonarios,Copa Sudamericana
1843,2012.10.31,U. De Chile,330,0,2,239,Sao Paulo,Copa Sudamericana
1844,2012.11.01,Independiente,22,2,2,329,U. Catolica,Copa Sudamericana
1845,2012.11.01,Cerro Porteno,604,1,0,39,Tigre,Copa Sudamericana
1846,2012.11.07,Sao Paulo,239,5,0,330,U. De Chile,Copa Sudamericana
1847,2012.11.08,U. Catolica,329,2,1,22,Independiente,Copa Sudamericana
1848,2012.11.08,Tigre,39,4,2,604,Cerro Porteno,Copa Sudamericana
1849,2012.11.15,Millonarios,421,3,1,224,Gremio,Copa Sudamericana
1850,2012.11.22,U. Catolica,329,1,1,239,Sao Paulo,Copa Sudamericana
1851,2012.11.22,Tigre,39,0,0,421,Millonarios,Copa Sudamericana
1852,2012.11.28,Sao Paulo,239,0,0,329,U. Catolica,Copa Sudamericana
1853,2012.11.29,Millonarios,421,1,1,39,Tigre,Copa Sudamericana
1854,2012.12.05,Tigre,39,0,0,239,Sao Paulo,Copa Sudamericana
1855,2012.12.12,Sao Paulo,239,2,0,39,Tigre,Copa Sudamericana
1856,2013.01.22,Tigre,39,2,1,909,Dep. Anzoategui,Copa Libertadores
1857,2013.01.23,Sao Paulo,239,5,0,106,Bolivar,Copa Libertadores
1858,2013.01.23,LDU Quito,518,1,0,224,Gremio,Copa Libertadores
1859,2013.01.24,Defensor Sp.,811,0,0,616,Olimpia Asuncion,Copa Libertadores
1860,2013.01.24,Deportes Tolima,412,1,0,712,Cesar Vallejo,Copa Libertadores
1861,2013.01.29,Dep. Anzoategui,909,0,3,39,Tigre,Copa Libertadores
1862,2013.01.30,Gremio,224,1,0,518,LDU Quito,Copa Libertadores
1863,2013.01.30,Bolivar,106,4,3,239,Sao Paulo,Copa Libertadores
1864,2013.01.31,Olimpia Asuncion,616,2,0,811,Defensor Sp.,Copa Libertadores
1865,2013.01.31,Cesar Vallejo,712,1,1,412,Deportes Tolima,Copa Libertadores
1866,2013.02.12,U. De Chile,330,2,0,920,Lara,Copa Libertadores
1867,2013.02.12,Emelec,510,1,0,42,Velez Sarsfield,Copa Libertadores
1868,2013.02.12,Nacional,817,2,2,503,Barcelona SC,Copa Libertadores
1869,2013.02.13,Caracas,906,0,1,220,Fluminense,Copa Libertadores
1870,2013.02.13,Atletico-MG,205,2,1,239,Sao Paulo,Copa Libertadores
1871,2013.02.13,Deportes Iquique,312,1,2,820,Penarol,Copa Libertadores
1872,2013.02.14,Garcilaso,722,1,1,427,Santa Fe,Copa Libertadores
1873,2013.02.14,Newells Old Boys,25,3,1,616,Olimpia Asuncion,Copa Libertadores
1874,2013.02.14,Gremio,224,1,2,315,Huachipato,Copa Libertadores
1875,2013.02.14,The Strongest,126,2,1,5,Arsenal Sarandi,Copa Libertadores
1876,2013.02.14,Palmeiras,230,2,1,736,Sporting Cristal,Copa Libertadores
1877,2013.02.15,Deportes Tolima,412,2,1,604,Cerro Porteno,Copa Libertadores
1878,2013.02.19,Penarol,820,1,0,510,Emelec,Copa Libertadores
1879,2013.02.19,Olimpia Asuncion,616,3,0,330,U. De Chile,Copa Libertadores
1880,2013.02.20,Fluminense,220,0,3,224,Gremio,Copa Libertadores
1881,2013.02.20,San Jose,123,1,1,214,Corinthians,Copa Libertadores
1882,2013.02.20,Huachipato,315,1,3,906,Caracas,Copa Libertadores
1883,2013.02.20,Velez Sarsfield,42,3,0,312,Deportes Iquique,Copa Libertadores
1884,2013.02.21,Santa Fe,427,1,1,412,Deportes Tolima,Copa Libertadores
1885,2013.02.21,Tigre,39,0,2,614,Libertad Asuncion,Copa Libertadores
1886,2013.02.21,Cerro Porteno,604,0,1,722,Garcilaso,Copa Libertadores
1887,2013.02.21,Lara,920,2,1,25,Newells Old Boys,Copa Libertadores
1888,2013.02.26,Penarol,820,0,1,42,Velez Sarsfield,Copa Libertadores
1889,2013.02.26,Deportes Tolima,412,0,1,722,Garcilaso,Copa Libertadores
1890,2013.02.26,Arsenal Sarandi,5,2,5,205,Atletico-MG,Copa Libertadores
1891,2013.02.27,Corinthians,214,2,0,421,Millonarios,Copa Libertadores
1892,2013.02.27,Deportes Iquique,312,2,0,510,Emelec,Copa Libertadores
1893,2013.02.27,Barcelona SC,503,1,2,10,Boca Juniors,Copa Libertadores
1894,2013.02.27,Huachipato,315,1,2,220,Fluminense,Copa Libertadores
1895,2013.02.28,Sporting Cristal,736,2,0,39,Tigre,Copa Libertadores
1896,2013.02.28,Sao Paulo,239,2,1,126,The Strongest,Copa Libertadores
1897,2013.02.28,Libertad Asuncion,614,2,0,230,Palmeiras,Copa Libertadores
1898,2013.03.05,Gremio,224,4,1,906,Caracas,Copa Libertadores
1899,2013.03.05,Newells Old Boys,25,1,2,330,U. De Chile,Copa Libertadores
1900,2013.03.05,Olimpia Asuncion,616,2,2,920,Lara,Copa Libertadores
1901,2013.03.05,Emelec,510,2,1,312,Deportes Iquique,Copa Libertadores
1902,2013.03.05,Millonarios,421,2,1,123,San Jose,Copa Libertadores
1903,2013.03.06,Tigre,39,1,0,230,Palmeiras,Copa Libertadores
1904,2013.03.06,Libertad Asuncion,614,2,2,736,Sporting Cristal,Copa Libertadores
1905,2013.03.06,Fluminense,220,1,1,315,Huachipato,Copa Libertadores
1906,2013.03.07,Boca Juniors,10,0,1,817,Nacional,Copa Libertadores
1907,2013.03.07,Atletico-MG,205,2,1,126,The Strongest,Copa Libertadores
1908,2013.03.07,Cerro Porteno,604,1,2,427,Santa Fe,Copa Libertadores
1909,2013.03.07,Sao Paulo,239,1,1,5,Arsenal Sarandi,Copa Libertadores
1910,2013.03.12,Velez Sarsfield,42,3,1,820,Penarol,Copa Libertadores
1911,2013.03.12,Sporting Cristal,736,1,1,614,Libertad Asuncion,Copa Libertadores
1912,2013.03.12,U. De Chile,330,0,2,25,Newells Old Boys,Copa Libertadores
