,id,nome,pais,rate
0,1,Argentina,Argentina,1500
1,2,Bolivia,Bolivia,1500
2,3,Brasil,Brasil,1500
3,4,Chile,Chile,1500
4,5,Colombia,Colombia,1500
5,6,Equador,Equador,1500
6,7,Paraguai,Paraguai,1500
7,8,Peru,Peru,1500
8,9,Uruguai,Uruguai,1500
9,10,Venezuela,Venezuela,1500
10,11,Mexico,Mexico,1500
