date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
26.08.2019,Botafogo RJ,0,,Chapecoense-SC,0,,Serie A
25.08.2019,Avai,1,,Corinthians,1,,Serie A
25.08.2019,Ceara,0,,Flamengo RJ,3,,Serie A
25.08.2019,CSA,1,,Cruzeiro,1,,Serie A
25.08.2019,Goias,2,,Internacional,1,,Serie A
25.08.2019,Santos,3,,Fortaleza,3,,Serie A
25.08.2019,Vasco,2,,Sao Paulo,0,,Serie A
24.08.2019,Gremio,2,,Athletico-PR,1,,Serie A
24.08.2019,Atletico-MG,0,,Bahia,1,,Serie A
21.08.2019,Athletico-PR,0,,Sao Paulo,1,,Serie A
18.08.2019,Chapecoense-SC,1,,Avai,0,,Serie A
18.08.2019,Bahia,1,,Goias,1,,Serie A
18.08.2019,Cruzeiro,2,,Santos,0,,Serie A
18.08.2019,Fluminense,0,,CSA,1,,Serie A
18.08.2019,Sao Paulo,1,,Ceara,0,,Serie A
17.08.2019,Gremio,1,,Palmeiras,1,,Serie A
17.08.2019,Athletico-PR,1,,Atletico-MG,0,,Serie A
17.08.2019,Vasco,1,,Flamengo RJ,4,,Serie A
17.08.2019,Corinthians,2,,Botafogo RJ,0,,Serie A
17.08.2019,Fortaleza,0,,Internacional,1,,Serie A
12.08.2019,CSA,0,,Fortaleza,2,,Serie A
11.08.2019,Goias,0,,Vasco,1,,Serie A
11.08.2019,Avai,2,,Cruzeiro,2,,Serie A
11.08.2019,Botafogo RJ,2,,Athletico-PR,1,,Serie A
11.08.2019,Palmeiras,2,,Bahia,2,,Serie A
11.08.2019,Internacional,0,,Corinthians,0,,Serie A
10.08.2019,Atletico-MG,2,,Fluminense,1,,Serie A
10.08.2019,Flamengo RJ,3,,Gremio,1,,Serie A
10.08.2019,Ceara,4,,Chapecoense-SC,1,,Serie A
10.08.2019,Sao Paulo,3,,Santos,2,,Serie A
07.08.2019,Corinthians,2,,Goias,0,,Serie A
05.08.2019,Gremio,3,,Chapecoense-SC,3,,Serie A
04.08.2019,Atletico-MG,2,,Cruzeiro,0,,Serie A
04.08.2019,Corinthians,1,,Palmeiras,1,,Serie A
04.08.2019,Vasco,0,,CSA,0,,Serie A
04.08.2019,Avai,0,,Botafogo RJ,2,,Serie A
04.08.2019,Bahia,3,,Flamengo RJ,0,,Serie A
04.08.2019,Santos,6,,Goias,1,,Serie A
03.08.2019,Ceara,2,,Fortaleza,1,,Serie A
03.08.2019,Fluminense,2,,Internacional,1,,Serie A
29.07.2019,CSA,0,,Gremio,0,,Serie A
28.07.2019,Fortaleza,1,,Corinthians,3,,Serie A
28.07.2019,Goias,0,,Atletico-MG,0,,Serie A
28.07.2019,Flamengo RJ,3,,Botafogo RJ,2,,Serie A
28.07.2019,Santos,3,,Avai,1,,Serie A
28.07.2019,Chapecoense-SC,0,,Bahia,0,,Serie A
27.07.2019,Cruzeiro,0,,Athletico-PR,2,,Serie A
27.07.2019,Fluminense,1,,Sao Paulo,2,,Serie A
27.07.2019,Internacional,1,,Ceara,0,,Serie A
27.07.2019,Palmeiras,1,,Vasco,1,,Serie A
22.07.2019,Sao Paulo,4,,Chapecoense-SC,0,,Serie A
21.07.2019,Avai,0,,Goias,0,,Serie A
21.07.2019,Atletico-MG,2,,Fortaleza,2,,Serie A
21.07.2019,Corinthians,1,,Flamengo RJ,1,,Serie A
21.07.2019,Botafogo RJ,0,,Santos,1,,Serie A
20.07.2019,Ceara,2,,Palmeiras,0,,Serie A
20.07.2019,CSA,0,,Athletico-PR,4,,Serie A
20.07.2019,Internacional,1,,Gremio,1,,Serie A
20.07.2019,Bahia,0,,Cruzeiro,0,,Serie A
20.07.2019,Vasco,2,,Fluminense,1,,Serie A
15.07.2019,Fluminense,1,,Ceara,1,,Serie A
14.07.2019,Chapecoense-SC,1,,Atletico-MG,2,,Serie A
14.07.2019,Athletico-PR,1,,Internacional,0,,Serie A
14.07.2019,Corinthians,1,,CSA,0,,Serie A
14.07.2019,Cruzeiro,0,,Botafogo RJ,0,,Serie A
14.07.2019,Flamengo RJ,6,,Goias,1,,Serie A
13.07.2019,Bahia,0,,Santos,1,,Serie A
13.07.2019,Sao Paulo,1,,Palmeiras,1,,Serie A
13.07.2019,Fortaleza,2,,Avai,0,,Serie A
13.07.2019,Gremio,2,,Vasco,1,,Serie A
13.06.2019,Atletico-MG,1,,Sao Paulo,1,,Serie A
13.06.2019,Chapecoense-SC,1,,Fluminense,1,,Serie A
13.06.2019,Goias,2,,Athletico-PR,1,,Serie A
13.06.2019,Palmeiras,2,,Avai,0,,Serie A
13.06.2019,Vasco,1,,Ceara,0,,Serie A
12.06.2019,CSA,0,,Flamengo RJ,2,,Serie A
12.06.2019,Internacional,3,,Bahia,1,,Serie A
12.06.2019,Santos,1,,Corinthians,0,,Serie A
12.06.2019,Fortaleza,2,,Cruzeiro,1,,Serie A
12.06.2019,Botafogo RJ,0,,Gremio,1,,Serie A
10.06.2019,Goias,3,,Chapecoense-SC,1,,Serie A
09.06.2019,CSA,1,,Botafogo RJ,2,,Serie A
09.06.2019,Fluminense,0,,Flamengo RJ,0,,Serie A
09.06.2019,Santos,3,,Atletico-MG,1,,Serie A
08.06.2019,Avai,0,,Sao Paulo,0,,Serie A
08.06.2019,Ceara,0,,Bahia,0,,Serie A
08.06.2019,Cruzeiro,0,,Corinthians,0,,Serie A
08.06.2019,Gremio,1,,Fortaleza,0,,Serie A
08.06.2019,Palmeiras,1,,Athletico-PR,0,,Serie A
07.06.2019,Vasco,2,,Internacional,1,,Serie A
02.06.2019,Atletico-MG,4,,CSA,0,,Serie A
02.06.2019,Chapecoense-SC,1,,Palmeiras,2,,Serie A
02.06.2019,Internacional,2,,Avai,0,,Serie A
02.06.2019,Athletico-PR,3,,Fluminense,0,,Serie A
02.06.2019,Ceara,0,,Santos,1,,Serie A
02.06.2019,Sao Paulo,1,,Cruzeiro,1,,Serie A
02.06.2019,Botafogo RJ,1,,Vasco,0,,Serie A
01.06.2019,Bahia,1,,Gremio,0,,Serie A
