date,club_1,goals_1,par_1,club_2,goals_2,par_2,tournament
01.09.2019,Colo Colo,0,,Cobresal,2,,Primera Division
01.09.2019,O'Higgins,0,,Huachipato,3,,Primera Division
01.09.2019,Antofagasta,1,,U. Catolica,2,,Primera Division
01.09.2019,U. De Concepcion,0,,Palestino,0,,Primera Division
31.08.2019,A. Italiano,3,,U. Espanola,2,,Primera Division
31.08.2019,Coquimbo,2,,U. De Chile,2,,Primera Division
31.08.2019,Curico Unido,1,,Deportes Iquique,2,,Primera Division
30.08.2019,Union La Calera,0,,Everton,0,,Primera Division
25.08.2019,Huachipato,4,,Antofagasta,3,,Primera Division
25.08.2019,U. De Chile,1,,U. Catolica,1,,Primera Division
25.08.2019,Deportes Iquique,2,,U. De Concepcion,2,,Primera Division
24.08.2019,Curico Unido,2,,A. Italiano,2,,Primera Division
24.08.2019,Everton,0,,Coquimbo,2,,Primera Division
24.08.2019,Palestino,2,,Colo Colo,2,,Primera Division
24.08.2019,Cobresal,1,,Union La Calera,0,,Primera Division
23.08.2019,U. Espanola,0,,O'Higgins,1,,Primera Division
18.08.2019,A. Italiano,2,,Palestino,3,,Primera Division
18.08.2019,Antofagasta,2,,Cobresal,0,,Primera Division
18.08.2019,Union La Calera,0,,U. De Chile,0,,Primera Division
17.08.2019,U. De Concepcion,1,,Huachipato,1,,Primera Division
17.08.2019,U. Catolica,1,,Everton,0,,Primera Division
17.08.2019,Coquimbo,2,,Curico Unido,1,,Primera Division
17.08.2019,O'Higgins,4,,Deportes Iquique,1,,Primera Division
16.08.2019,Colo Colo,1,,U. Espanola,0,,Primera Division
11.08.2019,U. Catolica,1,,Coquimbo,1,,Primera Division
11.08.2019,O'Higgins,1,,Colo Colo,0,,Primera Division
11.08.2019,Palestino,1,,Union La Calera,1,,Primera Division
10.08.2019,A. Italiano,0,,Huachipato,1,,Primera Division
10.08.2019,Everton,1,,U. Espanola,0,,Primera Division
10.08.2019,U. De Chile,1,,Antofagasta,0,,Primera Division
10.08.2019,Cobresal,0,,Deportes Iquique,1,,Primera Division
09.08.2019,Curico Unido,4,,U. De Concepcion,2,,Primera Division
04.08.2019,Colo Colo,0,,Curico Unido,1,,Primera Division
04.08.2019,Antofagasta,1,,Everton,1,,Primera Division
04.08.2019,U. De Concepcion,0,,U. Catolica,3,,Primera Division
03.08.2019,U. De Chile,1,,A. Italiano,1,,Primera Division
03.08.2019,Huachipato,0,,Palestino,2,,Primera Division
03.08.2019,Cobresal,2,,O'Higgins,1,,Primera Division
03.08.2019,Deportes Iquique,0,,Coquimbo,1,,Primera Division
02.08.2019,U. Espanola,1,,Union La Calera,1,,Primera Division
28.07.2019,Union La Calera,2,,Curico Unido,0,,Primera Division
28.07.2019,Colo Colo,0,,Everton,0,,Primera Division
28.07.2019,Huachipato,0,,U. Catolica,1,,Primera Division
28.07.2019,O'Higgins,3,,Antofagasta,6,,Primera Division
27.07.2019,A. Italiano,3,,Deportes Iquique,1,,Primera Division
27.07.2019,Palestino,1,,U. De Chile,1,,Primera Division
27.07.2019,U. Espanola,1,,Cobresal,3,,Primera Division
26.07.2019,Coquimbo,2,,U. De Concepcion,2,,Primera Division
13.06.2019,Everton,2,,Cobresal,1,,Primera Division
11.06.2019,U. Catolica,0,,U. Espanola,0,,Primera Division
26.05.2019,U. De Concepcion,1,,O'Higgins,1,,Primera Division
26.05.2019,Curico Unido,1,,Palestino,1,,Primera Division
26.05.2019,Deportes Iquique,2,,U. De Chile,4,,Primera Division
25.05.2019,Colo Colo,3,,A. Italiano,0,,Primera Division
25.05.2019,Antofagasta,1,,Union La Calera,1,,Primera Division
24.05.2019,Everton,0,,Huachipato,0,,Primera Division
24.05.2019,Cobresal,4,,Coquimbo,1,,Primera Division
19.05.2019,A. Italiano,3,,Curico Unido,1,,Primera Division
19.05.2019,Coquimbo,1,,Deportes Iquique,1,,Primera Division
19.05.2019,Huachipato,1,,U. De Concepcion,0,,Primera Division
18.05.2019,O'Higgins,2,,Everton,1,,Primera Division
18.05.2019,U. De Chile,1,,Colo Colo,1,,Primera Division
17.05.2019,U. Catolica,5,,Antofagasta,1,,Primera Division
17.05.2019,Union La Calera,1,,U. Espanola,2,,Primera Division
17.05.2019,Palestino,3,,Cobresal,0,,Primera Division
12.05.2019,U. De Chile,1,,Coquimbo,1,,Primera Division
12.05.2019,U. Espanola,1,,U. De Concepcion,0,,Primera Division
12.05.2019,Cobresal,0,,U. Catolica,2,,Primera Division
12.05.2019,Everton,0,,A. Italiano,2,,Primera Division
11.05.2019,Colo Colo,2,,Palestino,1,,Primera Division
11.05.2019,Curico Unido,2,,O'Higgins,1,,Primera Division
11.05.2019,Deportes Iquique,1,,Union La Calera,0,,Primera Division
10.05.2019,Antofagasta,0,,Huachipato,1,,Primera Division
05.05.2019,A. Italiano,3,,U. De Chile,1,,Primera Division
05.05.2019,Union La Calera,1,,Colo Colo,1,,Primera Division
05.05.2019,Cobresal,2,,Antofagasta,2,,Primera Division
04.05.2019,Coquimbo,2,,U. Espanola,0,,Primera Division
04.05.2019,Huachipato,1,,Deportes Iquique,1,,Primera Division
04.05.2019,O'Higgins,1,,U. Catolica,0,,Primera Division
03.05.2019,U. De Concepcion,1,,Curico Unido,2,,Primera Division
03.05.2019,Palestino,1,,Everton,0,,Primera Division
28.04.2019,Coquimbo,2,,Palestino,2,,Primera Division
28.04.2019,U. Espanola,0,,A. Italiano,2,,Primera Division
28.04.2019,U. Catolica,3,,U. De Concepcion,1,,Primera Division
28.04.2019,Union La Calera,2,,O'Higgins,0,,Primera Division
27.04.2019,Curico Unido,4,,Huachipato,2,,Primera Division
27.04.2019,Everton,1,,U. De Chile,1,,Primera Division
27.04.2019,Deportes Iquique,0,,Cobresal,1,,Primera Division
26.04.2019,Colo Colo,1,,Antofagasta,0,,Primera Division
21.04.2019,U. Espanola,0,,Everton,4,,Primera Division
21.04.2019,Antofagasta,0,,Coquimbo,1,,Primera Division
21.04.2019,U. De Chile,3,,Curico Unido,3,,Primera Division
20.04.2019,A. Italiano,1,,Union La Calera,1,,Primera Division
20.04.2019,Huachipato,1,,Colo Colo,1,,Primera Division
20.04.2019,Palestino,1,,U. Catolica,2,,Primera Division
19.04.2019,O'Higgins,2,,Cobresal,0,,Primera Division
19.04.2019,U. De Concepcion,1,,Deportes Iquique,0,,Primera Division
14.04.2019,Cobresal,1,,U. De Concepcion,0,,Primera Division
14.04.2019,Antofagasta,0,,Palestino,1,,Primera Division
14.04.2019,U. Catolica,4,,U. De Chile,0,,Primera Division
13.04.2019,Union La Calera,2,,Huachipato,1,,Primera Division
13.04.2019,A. Italiano,2,,Coquimbo,0,,Primera Division
13.04.2019,Colo Colo,3,,O'Higgins,2,,Primera Division
13.04.2019,Deportes Iquique,3,,U. Espanola,2,,Primera Division
12.04.2019,Curico Unido,2,,Everton,2,,Primera Division
07.04.2019,U. Espanola,2,,Curico Unido,1,,Primera Division
07.04.2019,U. De Chile,1,,Union La Calera,1,,Primera Division
07.04.2019,Everton,1,,U. Catolica,2,,Primera Division
07.04.2019,Deportes Iquique,2,,Antofagasta,0,,Primera Division
06.04.2019,U. De Concepcion,1,,A. Italiano,0,,Primera Division
06.04.2019,Coquimbo,2,,Colo Colo,0,,Primera Division
05.04.2019,Huachipato,3,,Cobresal,1,,Primera Division
05.04.2019,Palestino,1,,O'Higgins,1,,Primera Division
31.03.2019,Huachipato,0,,Coquimbo,0,,Primera Division
31.03.2019,U. Catolica,0,,Curico Unido,0,,Primera Division
31.03.2019,Antofagasta,3,,U. De Chile,1,,Primera Division
30.03.2019,O'Higgins,0,,U. Espanola,2,,Primera Division
30.03.2019,Colo Colo,2,,Deportes Iquique,0,,Primera Division
29.03.2019,Union La Calera,3,,U. De Concepcion,1,,Primera Division
27.03.2019,Palestino,1,,A. Italiano,2,,Primera Division
25.03.2019,U. De Concepcion,1,,Antofagasta,1,,Primera Division
17.03.2019,Everton,1,,Antofagasta,0,,Primera Division
17.03.2019,Coquimbo,1,,Union La Calera,1,,Primera Division
17.03.2019,Deportes Iquique,3,,Palestino,3,,Primera Division
17.03.2019,Colo Colo,2,,U. Catolica,3,,Primera Division
16.03.2019,A. Italiano,2,,O'Higgins,2,,Primera Division
16.03.2019,U. De Concepcion,2,,U. De Chile,1,,Primera Division
15.03.2019,U. Espanola,2,,Huachipato,1,,Primera Division
15.03.2019,Curico Unido,3,,Cobresal,1,,Primera Division
10.03.2019,Antofagasta,1,,Curico Unido,1,,Primera Division
10.03.2019,Cobresal,0,,Colo Colo,0,,Primera Division
10.03.2019,U. De Chile,1,,U. Espanola,2,,Primera Division
10.03.2019,Everton,2,,Deportes Iquique,0,,Primera Division
09.03.2019,U. Catolica,1,,Union La Calera,0,,Primera Division
09.03.2019,Palestino,4,,U. De Concepcion,1,,Primera Division
09.03.2019,Huachipato,2,,A. Italiano,0,,Primera Division
08.03.2019,O'Higgins,2,,Coquimbo,0,,Primera Division
