,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1506.32928233,2018.05.01
1,2,All Boys,Argentina,1526.88921341,2018.05.01
2,3,Almagro,Argentina,1503.98583716,2018.05.01
3,4,Argentinos Jrs,Argentina,1606.70986282,2018.05.01
4,5,Arsenal Sarandi,Argentina,1500.81213199,2018.05.01
5,6,Atl. Rafaela,Argentina,1544.65628296,2018.05.01
6,7,Atl. Tucuman,Argentina,1674.56865805,2018.05.01
7,8,Banfield,Argentina,1647.17060036,2018.05.01
8,9,Belgrano,Argentina,1643.33650007,2018.05.01
9,10,Boca Juniors,Argentina,1805.60114255,2018.05.01
10,11,Central Cordoba,Argentina,1544.11949328,2018.05.01
11,12,Chacarita Juniors,Argentina,1497.67565064,2018.05.01
12,13,Colon Santa FE,Argentina,1669.89955622,2018.05.01
13,14,Crucero del Norte,Argentina,1420.9276065,2018.05.01
14,15,Defensa y Justicia,Argentina,1720.1849575,2018.05.01
15,16,Estudiantes L.P.,Argentina,1685.16120283,2018.05.01
16,17,Gimnasia Jujuy,Argentina,1517.07202054,2018.05.01
17,18,Gimnasia L.P.,Argentina,1544.42267182,2018.05.01
18,19,Godoy Cruz,Argentina,1762.88051431,2018.05.01
19,20,Huracan,Argentina,1689.92749508,2018.05.01
20,21,Huracan Tres Arroyos,Argentina,1390.47057154,2018.05.01
21,22,Independiente,Argentina,1775.80890932,2018.05.01
22,23,Instituto,Argentina,1476.81226382,2018.05.01
23,24,Lanus,Argentina,1634.70462158,2018.05.01
24,25,Newells Old Boys,Argentina,1594.12934018,2018.05.01
25,26,Nueva Chicago,Argentina,1541.86548597,2018.05.01
26,27,Olimpo Bahia Blanca,Argentina,1476.17461619,2018.05.01
27,28,Patronato,Argentina,1563.27769591,2018.05.01
28,29,Quilmes,Argentina,1479.9531811,2018.05.01
29,30,Racing Club,Argentina,1768.21431917,2018.05.01
30,31,River Plate,Argentina,1798.67314638,2018.05.01
31,32,Rosario Central,Argentina,1655.22556182,2018.05.01
32,33,San Lorenzo,Argentina,1765.45193215,2018.05.01
33,34,San Martin S.J.,Argentina,1582.66570178,2018.05.01
34,35,San Martin T.,Argentina,1525.43010357,2018.05.01
35,36,Sarmiento Junin,Argentina,1473.16113101,2018.05.01
36,37,Talleres Cordoba,Argentina,1707.43831277,2018.05.01
37,38,Temperley,Argentina,1510.36643188,2018.05.01
38,39,Tigre,Argentina,1575.24515337,2018.05.01
39,40,Tiro Federal,Argentina,1450.8120472,2018.05.01
40,41,Union de Santa Fe,Argentina,1651.97946433,2018.05.01
41,42,Velez Sarsfield,Argentina,1605.91743214,2018.05.01
42,101,1 de Mayo,Bolivia,1347.89047191,2018.05.01
43,102,Always Ready,Bolivia,1424.92530412,2018.05.01
44,103,Aurora,Bolivia,1404.42581875,2018.05.01
45,104,Bermejo,Bolivia,1405.28887486,2018.05.01
46,105,Blooming,Bolivia,1526.22871209,2018.05.01
47,106,Bolivar,Bolivia,1666.23373326,2018.05.01
48,107,Central Union,Bolivia,1313.6470939,2018.05.01
49,108,Ciclon,Bolivia,1435.28916996,2018.05.01
50,109,Destroyers,Bolivia,1396.27613281,2018.05.01
51,110,Fancesa,Bolivia,1406.16866212,2018.05.01
52,111,Guabira,Bolivia,1430.74190135,2018.05.01
53,112,Iberoamericana,Bolivia,1186.17829014,2018.05.01
54,113,Independiente,Bolivia,1293.56507258,2018.05.01
55,114,Industrial Aviles,Bolivia,1424.92530412,2018.05.01
56,115,La Paz,Bolivia,1280.3145062,2018.05.01
57,116,Mariscal,Bolivia,1283.72544658,2018.05.01
58,117,Nacional Potosi,Bolivia,1432.44528275,2018.05.01
59,118,Oriente Petrolero,Bolivia,1490.13324343,2018.05.01
60,119,Petrolero de Yacuiba,Bolivia,1399.55320292,2018.05.01
61,120,Real Mamore,Bolivia,1208.69643958,2018.05.01
62,121,Real Potosi,Bolivia,1394.54574653,2018.05.01
63,122,Royal Pari,Bolivia,1414.21102433,2018.05.01
64,123,San Jose,Bolivia,1585.61310505,2018.05.01
65,124,Santa Cruz,Bolivia,1356.11482831,2018.05.01
66,125,Sport Boys,Bolivia,1423.37734067,2018.05.01
67,126,The Strongest,Bolivia,1654.74661092,2018.05.01
68,127,U. Pando,Bolivia,1269.99967774,2018.05.01
69,128,U. Sucre,Bolivia,1422.81906186,2018.05.01
70,129,Universitario Beni,Bolivia,1400.74036784,2018.05.01
71,130,Wilstermann,Bolivia,1664.28135507,2018.05.01
72,201,America MG,Brasil,1542.14292903,2018.05.01
73,202,America RN,Brasil,1464.46781518,2018.05.01
74,203,Athletico-PR,Brasil,1750.89116116,2018.05.01
75,204,Atletico GO,Brasil,1585.55089598,2018.05.01
76,205,Atletico-MG,Brasil,1730.67829229,2018.05.01
77,206,Avai,Brasil,1618.92820561,2018.05.01
78,207,Bahia,Brasil,1660.05758611,2018.05.01
79,208,Barueri,Brasil,1564.18333515,2018.05.01
80,209,Betim,Brasil,1524.25309312,2018.05.01
81,210,Botafogo RJ,Brasil,1737.7671373,2018.05.01
82,211,Brasiliense,Brasil,1509.11574762,2018.05.01
83,212,Ceara,Brasil,1660.8683993,2018.05.01
84,213,Chapecoense-SC,Brasil,1670.46639347,2018.05.01
85,214,Corinthians,Brasil,1779.85850748,2018.05.01
86,215,Coritiba,Brasil,1618.37733291,2018.05.01
87,216,Criciuma,Brasil,1554.71300737,2018.05.01
88,217,Cruzeiro,Brasil,1734.19405805,2018.05.01
89,218,Figueirense,Brasil,1567.40082834,2018.05.01
90,219,Flamengo RJ,Brasil,1796.3447135,2018.05.01
91,220,Fluminense,Brasil,1656.53271134,2018.05.01
92,221,Fortaleza,Brasil,1578.51079178,2018.05.01
93,222,Gama,Brasil,1539.47568208,2018.05.01
94,223,Goias,Brasil,1635.63549258,2018.05.01
95,224,Gremio,Brasil,1798.41024299,2018.05.01
96,225,Guarani,Brasil,1540.62443292,2018.05.01
97,226,Internacional,Brasil,1692.72804396,2018.05.01
98,227,Joinville,Brasil,1548.53990128,2018.05.01
99,228,Juventude,Brasil,1581.27986579,2018.05.01
100,229,Nautico,Brasil,1470.69074925,2018.05.01
101,230,Palmeiras,Brasil,1820.91071397,2018.05.01
102,231,Parana,Brasil,1545.96898502,2018.05.01
103,232,Paysandu PA,Brasil,1505.45581146,2018.05.01
104,233,Ponte Preta,Brasil,1605.25604714,2018.05.01
105,234,Portuguesa,Brasil,1680.8755137,2018.05.01
106,235,Santa Cruz,Brasil,1504.64517198,2018.05.01
107,236,Santo Andre,Brasil,1548.14696492,2018.05.01
108,237,Santos,Brasil,1803.86678941,2018.05.01
109,238,Sao Caetano,Brasil,1551.29056561,2018.05.01
110,239,Sao Paulo,Brasil,1701.16540365,2018.05.01
111,240,Sport Recife,Brasil,1606.61763397,2018.05.01
112,241,Vasco,Brasil,1676.09909796,2018.05.01
113,242,Vitoria,Brasil,1642.0365736,2018.05.01
114,301,A. Italiano,Chile,1499.1527093,2018.05.01
115,302,Antofagasta,Chile,1553.04560713,2018.05.01
116,303,Barnechea,Chile,1336.59198344,2018.05.01
117,304,C.D.S. Naval,Chile,1364.35778052,2018.05.01
118,305,Cobreloa,Chile,1444.12830258,2018.05.01
119,306,Cobresal,Chile,1402.00310241,2018.05.01
120,307,Colo Colo,Chile,1697.06703098,2018.05.01
121,308,Coquimbo,Chile,1376.28590042,2018.05.01
122,309,Curico Unido,Chile,1477.77159226,2018.05.01
123,310,D. Concepcion,Chile,1407.95442062,2018.05.01
124,311,D. Puerto Montt,Chile,1374.03702333,2018.05.01
125,312,Deportes Iquique,Chile,1470.66314882,2018.05.01
