,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1528.48877543,2015.03.03
1,2,All Boys,Argentina,1527.61406797,2015.03.03
2,3,Almagro,Argentina,1505.98894856,2015.03.03
3,4,Argentinos Jrs,Argentina,1554.55959554,2015.03.03
4,5,Arsenal Sarandi,Argentina,1613.00205403,2015.03.03
5,6,Atl. Rafaela,Argentina,1550.82926076,2015.03.03
6,7,Atl. Tucuman,Argentina,1533.50160991,2015.03.03
7,8,Banfield,Argentina,1552.43018614,2015.03.03
8,9,Belgrano,Argentina,1656.43934066,2015.03.03
9,10,Boca Juniors,Argentina,1784.03357128,2015.03.03
10,11,Central Cordoba,Argentina,1567.9546293,2015.03.03
11,12,Chacarita Juniors,Argentina,1498.8575604,2015.03.03
12,13,Colon Santa FE,Argentina,1562.7548655,2015.03.03
13,14,Crucero del Norte,Argentina,1556.95922185,2015.03.03
14,15,Defensa y Justicia,Argentina,1539.2281018,2015.03.03
15,16,Estudiantes L.P.,Argentina,1738.90491998,2015.03.03
16,17,Gimnasia Jujuy,Argentina,1528.69960023,2015.03.03
17,18,Gimnasia L.P.,Argentina,1612.101168,2015.03.03
18,19,Godoy Cruz,Argentina,1605.23865035,2015.03.03
19,20,Huracan,Argentina,1519.51428154,2015.03.03
20,21,Huracan Tres Arroyos,Argentina,1390.47057154,2015.03.03
21,22,Independiente,Argentina,1653.27569258,2015.03.03
22,23,Instituto,Argentina,1468.26856983,2015.03.03
23,24,Lanus,Argentina,1711.25193364,2015.03.03
24,25,Newells Old Boys,Argentina,1660.02390442,2015.03.03
25,26,Nueva Chicago,Argentina,1495.74927727,2015.03.03
26,27,Olimpo Bahia Blanca,Argentina,1566.60845627,2015.03.03
27,28,Patronato,Argentina,1555.12655062,2015.03.03
28,29,Quilmes,Argentina,1516.99755376,2015.03.03
29,30,Racing Club,Argentina,1728.92539311,2015.03.03
30,31,River Plate,Argentina,1823.41461556,2015.03.03
31,32,Rosario Central,Argentina,1644.31126802,2015.03.03
32,33,San Lorenzo,Argentina,1694.30006474,2015.03.03
33,34,San Martin S.J.,Argentina,1613.9300645,2015.03.03
34,35,San Martin T.,Argentina,1547.80656459,2015.03.03
35,36,Sarmiento Junin,Argentina,1569.91468801,2015.03.03
