,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1572.01571704,2003.05.06
1,2,All Boys,Argentina,1572.01571704,2003.05.06
2,3,Almagro,Argentina,1572.01571704,2003.05.06
3,4,Argentinos Jrs,Argentina,1509.10436523,2003.05.06
4,5,Arsenal Sarandi,Argentina,1565.60986942,2003.05.06
5,6,Atl. Rafaela,Argentina,1572.01571704,2003.05.06
6,7,Atl. Tucuman,Argentina,1572.01571704,2003.05.06
7,8,Banfield,Argentina,1567.67474787,2003.05.06
8,9,Belgrano,Argentina,1508.72363031,2003.05.06
9,10,Boca Juniors,Argentina,1693.77800978,2003.05.06
10,11,Central Cordoba,Argentina,1572.01571704,2003.05.06
11,12,Chacarita Juniors,Argentina,1522.05642865,2003.05.06
12,13,Colon Santa FE,Argentina,1607.66754764,2003.05.06
13,14,Crucero del Norte,Argentina,1572.01571704,2003.05.06
14,15,Defensa y Justicia,Argentina,1572.01571704,2003.05.06
15,16,Estudiantes L.P.,Argentina,1527.79802194,2003.05.06
16,17,Gimnasia Jujuy,Argentina,1572.01571704,2003.05.06
17,18,Gimnasia L.P.,Argentina,1575.88021456,2003.05.06
18,19,Godoy Cruz,Argentina,1572.01571704,2003.05.06
19,20,Huracan,Argentina,1407.77225388,2003.05.06
20,21,Huracan Tres Arroyos,Argentina,1572.01571704,2003.05.06
21,22,Independiente,Argentina,1595.67397105,2003.05.06
22,23,Instituto,Argentina,1572.01571704,2003.05.06
23,24,Lanus,Argentina,1586.0727985,2003.05.06
24,25,Newells Old Boys,Argentina,1595.93586643,2003.05.06
25,26,Nueva Chicago,Argentina,1539.68646237,2003.05.06
26,27,Olimpo Bahia Blanca,Argentina,1547.47777013,2003.05.06
27,28,Patronato,Argentina,1572.01571704,2003.05.06
28,29,Quilmes,Argentina,1572.01571704,2003.05.06
29,30,Racing Club,Argentina,1632.17869293,2003.05.06
30,31,River Plate,Argentina,1725.75012015,2003.05.06
31,32,Rosario Central,Argentina,1605.29375759,2003.05.06
32,33,San Lorenzo,Argentina,1600.43432176,2003.05.06
33,34,San Martin S.J.,Argentina,1572.01571704,2003.05.06
34,35,San Martin T.,Argentina,1572.01571704,2003.05.06
35,36,Sarmiento Junin,Argentina,1572.01571704,2003.05.06
36,37,Talleres Cordoba,Argentina,1512.67891855,2003.05.06
37,38,Temperley,Argentina,1572.01571704,2003.05.06
38,39,Tigre,Argentina,1572.01571704,2003.05.06
39,40,Tiro Federal,Argentina,1572.01571704,2003.05.06
40,41,Union de Santa Fe,Argentina,1554.28099788,2003.05.06
41,42,Velez Sarsfield,Argentina,1650.23036543,2003.05.06
42,101,1 de Mayo,Bolivia,1424.92530412,2003.05.06
43,102,Always Ready,Bolivia,1424.92530412,2003.05.06
44,103,Aurora,Bolivia,1403.64869427,2003.05.06
45,104,Bermejo,Bolivia,1424.92530412,2003.05.06
46,105,Blooming,Bolivia,1407.96747313,2003.05.06
47,106,Bolivar,Bolivia,1662.89200132,2003.05.06
48,107,Central Union,Bolivia,1392.18247569,2003.05.06
49,108,Ciclon,Bolivia,1424.92530412,2003.05.06
50,109,Destroyers,Bolivia,1424.92530412,2003.05.06
51,110,Fancesa,Bolivia,1406.16866212,2003.05.06
52,111,Guabira,Bolivia,1253.82793305,2003.05.06
53,112,Iberoamericana,Bolivia,1404.51210614,2003.05.06
54,113,Independiente,Bolivia,1306.66997704,2003.05.06
55,114,Industrial Aviles,Bolivia,1424.92530412,2003.05.06
56,115,La Paz,Bolivia,1424.92530412,2003.05.06
57,116,Mariscal,Bolivia,1283.72544658,2003.05.06
58,117,Nacional Potosi,Bolivia,1424.92530412,2003.05.06
59,118,Oriente Petrolero,Bolivia,1468.25805967,2003.05.06
60,119,Petrolero de Yacuiba,Bolivia,1424.92530412,2003.05.06
61,120,Real Mamore,Bolivia,1424.92530412,2003.05.06
62,121,Real Potosi,Bolivia,1438.11795894,2003.05.06
63,122,Royal Pari,Bolivia,1424.92530412,2003.05.06
64,123,San Jose,Bolivia,1419.35383543,2003.05.06
65,124,Santa Cruz,Bolivia,1424.92530412,2003.05.06
66,125,Sport Boys,Bolivia,1424.92530412,2003.05.06
67,126,The Strongest,Bolivia,1523.09913556,2003.05.06
68,127,U. Pando,Bolivia,1424.92530412,2003.05.06
69,128,U. Sucre,Bolivia,1424.92530412,2003.05.06
70,129,Universitario Beni,Bolivia,1424.92530412,2003.05.06
71,130,Wilstermann,Bolivia,1510.0466956,2003.05.06
72,201,America MG,Brasil,1604.49952105,2003.05.06
73,202,America RN,Brasil,1604.49952105,2003.05.06
74,203,Athletico-PR,Brasil,1595.75744311,2003.05.06
75,204,Atletico GO,Brasil,1604.49952105,2003.05.06
76,205,Atletico-MG,Brasil,1624.00198266,2003.05.06
77,206,Avai,Brasil,1604.49952105,2003.05.06
78,207,Bahia,Brasil,1574.39861087,2003.05.06
79,208,Barueri,Brasil,1604.49952105,2003.05.06
80,209,Betim,Brasil,1604.49952105,2003.05.06
81,210,Botafogo RJ,Brasil,1528.15373284,2003.05.06
82,211,Brasiliense,Brasil,1604.49952105,2003.05.06
83,212,Ceara,Brasil,1604.49952105,2003.05.06
84,213,Chapecoense-SC,Brasil,1604.49952105,2003.05.06
85,214,Corinthians,Brasil,1674.4766874,2003.05.06
86,215,Coritiba,Brasil,1592.1307668,2003.05.06
87,216,Criciuma,Brasil,1595.42578303,2003.05.06
88,217,Cruzeiro,Brasil,1713.26852917,2003.05.06
89,218,Figueirense,Brasil,1550.66474831,2003.05.06
90,219,Flamengo RJ,Brasil,1625.7991809,2003.05.06
91,220,Fluminense,Brasil,1618.04856441,2003.05.06
92,221,Fortaleza,Brasil,1581.99075442,2003.05.06
93,222,Gama,Brasil,1553.82041883,2003.05.06
94,223,Goias,Brasil,1607.29475676,2003.05.06
95,224,Gremio,Brasil,1675.5802409,2003.05.06
96,225,Guarani,Brasil,1582.01122817,2003.05.06
97,226,Internacional,Brasil,1633.42658428,2003.05.06
98,227,Joinville,Brasil,1604.49952105,2003.05.06
99,228,Juventude,Brasil,1562.26471881,2003.05.06
100,229,Nautico,Brasil,1604.49952105,2003.05.06
101,230,Palmeiras,Brasil,1573.08798928,2003.05.06
102,231,Parana,Brasil,1596.51038897,2003.05.06
103,232,Paysandu PA,Brasil,1605.33774849,2003.05.06
104,233,Ponte Preta,Brasil,1601.59659552,2003.05.06
105,234,Portuguesa,Brasil,1530.76510408,2003.05.06
106,235,Santa Cruz,Brasil,1604.49952105,2003.05.06
