,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1578.81062339,2015.12.01
1,2,All Boys,Argentina,1527.61406797,2015.12.01
2,3,Almagro,Argentina,1505.98894856,2015.12.01
3,4,Argentinos Jrs,Argentina,1528.00518037,2015.12.01
4,5,Arsenal Sarandi,Argentina,1536.07140742,2015.12.01
5,6,Atl. Rafaela,Argentina,1508.15889733,2015.12.01
6,7,Atl. Tucuman,Argentina,1521.12187208,2015.12.01
7,8,Banfield,Argentina,1650.55963491,2015.12.01
8,9,Belgrano,Argentina,1647.06630714,2015.12.01
9,10,Boca Juniors,Argentina,1792.27132127,2015.12.01
10,11,Central Cordoba,Argentina,1567.9546293,2015.12.01
11,12,Chacarita Juniors,Argentina,1515.566026,2015.12.01
12,13,Colon Santa FE,Argentina,1591.89299278,2015.12.01
13,14,Crucero del Norte,Argentina,1420.9276065,2015.12.01
14,15,Defensa y Justicia,Argentina,1545.44502906,2015.12.01
15,16,Estudiantes L.P.,Argentina,1707.03727228,2015.12.01
16,17,Gimnasia Jujuy,Argentina,1519.3421237,2015.12.01
17,18,Gimnasia L.P.,Argentina,1650.09263395,2015.12.01
18,19,Godoy Cruz,Argentina,1567.0725543,2015.12.01
19,20,Huracan,Argentina,1628.82044056,2015.12.01
20,21,Huracan Tres Arroyos,Argentina,1390.47057154,2015.12.01
21,22,Independiente,Argentina,1745.02680133,2015.12.01
22,23,Instituto,Argentina,1471.53770825,2015.12.01
23,24,Lanus,Argentina,1706.99661954,2015.12.01
24,25,Newells Old Boys,Argentina,1607.17274068,2015.12.01
25,26,Nueva Chicago,Argentina,1544.83119365,2015.12.01
26,27,Olimpo Bahia Blanca,Argentina,1603.12559391,2015.12.01
27,28,Patronato,Argentina,1552.48910944,2015.12.01
28,29,Quilmes,Argentina,1595.83943711,2015.12.01
29,30,Racing Club,Argentina,1773.78427326,2015.12.01
30,31,River Plate,Argentina,1731.83807117,2015.12.01
31,32,Rosario Central,Argentina,1733.06157527,2015.12.01
32,33,San Lorenzo,Argentina,1757.39623194,2015.12.01
33,34,San Martin S.J.,Argentina,1566.32088877,2015.12.01
34,35,San Martin T.,Argentina,1525.43010357,2015.12.01
35,36,Sarmiento Junin,Argentina,1531.58641634,2015.12.01
36,37,Talleres Cordoba,Argentina,1663.55691184,2015.12.01
37,38,Temperley,Argentina,1536.48709121,2015.12.01
38,39,Tigre,Argentina,1628.03952826,2015.12.01
39,40,Tiro Federal,Argentina,1450.8120472,2015.12.01
40,41,Union de Santa Fe,Argentina,1558.00384942,2015.12.01
41,42,Velez Sarsfield,Argentina,1565.22936927,2015.12.01
42,101,1 de Mayo,Bolivia,1347.89047191,2015.12.01
43,102,Always Ready,Bolivia,1424.92530412,2015.12.01
44,103,Aurora,Bolivia,1393.29671729,2015.12.01
45,104,Bermejo,Bolivia,1405.28887486,2015.12.01
46,105,Blooming,Bolivia,1496.20755573,2015.12.01
47,106,Bolivar,Bolivia,1703.39648442,2015.12.01
48,107,Central Union,Bolivia,1313.6470939,2015.12.01
49,108,Ciclon,Bolivia,1411.17253399,2015.12.01
50,109,Destroyers,Bolivia,1351.7088355,2015.12.01
51,110,Fancesa,Bolivia,1406.16866212,2015.12.01
52,111,Guabira,Bolivia,1372.74367688,2015.12.01
53,112,Iberoamericana,Bolivia,1186.17829014,2015.12.01
54,113,Independiente,Bolivia,1293.56507258,2015.12.01
55,114,Industrial Aviles,Bolivia,1424.92530412,2015.12.01
56,115,La Paz,Bolivia,1280.3145062,2015.12.01
57,116,Mariscal,Bolivia,1283.72544658,2015.12.01
58,117,Nacional Potosi,Bolivia,1453.53128561,2015.12.01
59,118,Oriente Petrolero,Bolivia,1586.9207095,2015.12.01
60,119,Petrolero de Yacuiba,Bolivia,1414.06458065,2015.12.01
61,120,Real Mamore,Bolivia,1208.69643958,2015.12.01
62,121,Real Potosi,Bolivia,1502.52434879,2015.12.01
63,122,Royal Pari,Bolivia,1424.92530412,2015.12.01
64,123,San Jose,Bolivia,1524.97317335,2015.12.01
65,124,Santa Cruz,Bolivia,1356.11482831,2015.12.01
66,125,Sport Boys,Bolivia,1419.38102935,2015.12.01
67,126,The Strongest,Bolivia,1658.14048042,2015.12.01
68,127,U. Pando,Bolivia,1269.99967774,2015.12.01
69,128,U. Sucre,Bolivia,1481.09352276,2015.12.01
70,129,Universitario Beni,Bolivia,1424.92530412,2015.12.01
71,130,Wilstermann,Bolivia,1548.06578145,2015.12.01
72,201,America MG,Brasil,1573.04550084,2015.12.01
73,202,America RN,Brasil,1459.54850288,2015.12.01
74,203,Athletico-PR,Brasil,1692.86836945,2015.12.01
75,204,Atletico GO,Brasil,1542.05938068,2015.12.01
76,205,Atletico-MG,Brasil,1760.70330394,2015.12.01
77,206,Avai,Brasil,1565.7730491,2015.12.01
78,207,Bahia,Brasil,1599.99015574,2015.12.01
79,208,Barueri,Brasil,1564.18333515,2015.12.01
80,209,Betim,Brasil,1524.25309312,2015.12.01
81,210,Botafogo RJ,Brasil,1558.42196926,2015.12.01
82,211,Brasiliense,Brasil,1509.11574762,2015.12.01
83,212,Ceara,Brasil,1661.93311615,2015.12.01
84,213,Chapecoense-SC,Brasil,1666.17934627,2015.12.01
85,214,Corinthians,Brasil,1873.90220733,2015.12.01
86,215,Coritiba,Brasil,1644.2328172,2015.12.01
87,216,Criciuma,Brasil,1555.70773122,2015.12.01
88,217,Cruzeiro,Brasil,1786.84043108,2015.12.01
89,218,Figueirense,Brasil,1624.43603585,2015.12.01
90,219,Flamengo RJ,Brasil,1663.10203813,2015.12.01
91,220,Fluminense,Brasil,1681.1369275,2015.12.01
92,221,Fortaleza,Brasil,1548.88271127,2015.12.01
93,222,Gama,Brasil,1545.24840783,2015.12.01
94,223,Goias,Brasil,1625.26767153,2015.12.01
95,224,Gremio,Brasil,1800.77770597,2015.12.01
96,225,Guarani,Brasil,1540.62443292,2015.12.01
97,226,Internacional,Brasil,1729.52560316,2015.12.01
98,227,Joinville,Brasil,1558.91963343,2015.12.01
99,228,Juventude,Brasil,1552.06350327,2015.12.01
100,229,Nautico,Brasil,1469.73004153,2015.12.01
101,230,Palmeiras,Brasil,1657.75234404,2015.12.01
102,231,Parana,Brasil,1518.52432686,2015.12.01
103,232,Paysandu PA,Brasil,1521.30937972,2015.12.01
104,233,Ponte Preta,Brasil,1658.12845906,2015.12.01
105,234,Portuguesa,Brasil,1702.23962498,2015.12.01
106,235,Santa Cruz,Brasil,1486.06205941,2015.12.01
107,236,Santo Andre,Brasil,1555.33580298,2015.12.01
108,237,Santos,Brasil,1819.41158825,2015.12.01
109,238,Sao Caetano,Brasil,1548.23857829,2015.12.01
110,239,Sao Paulo,Brasil,1747.74683283,2015.12.01
111,240,Sport Recife,Brasil,1710.16913236,2015.12.01
112,241,Vasco,Brasil,1659.31819048,2015.12.01
113,242,Vitoria,Brasil,1618.68625943,2015.12.01
114,301,A. Italiano,Chile,1552.02596245,2015.12.01
115,302,Antofagasta,Chile,1491.74208093,2015.12.01
116,303,Barnechea,Chile,1381.90189361,2015.12.01
117,304,C.D.S. Naval,Chile,1364.35778052,2015.12.01
118,305,Cobreloa,Chile,1444.89342607,2015.12.01
119,306,Cobresal,Chile,1497.21219774,2015.12.01
