,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1564.25500495,2012.08.07
1,2,All Boys,Argentina,1656.02217419,2012.08.07
2,3,Almagro,Argentina,1504.84820984,2012.08.07
3,4,Argentinos Jrs,Argentina,1629.67350054,2012.08.07
4,5,Arsenal Sarandi,Argentina,1735.05999108,2012.08.07
5,6,Atl. Rafaela,Argentina,1607.74255344,2012.08.07
6,7,Atl. Tucuman,Argentina,1524.27661255,2012.08.07
7,8,Banfield,Argentina,1465.6891429,2012.08.07
8,9,Belgrano,Argentina,1613.87729733,2012.08.07
9,10,Boca Juniors,Argentina,1743.41129623,2012.08.07
10,11,Central Cordoba,Argentina,1567.57049149,2012.08.07
11,12,Chacarita Juniors,Argentina,1497.92849214,2012.08.07
12,13,Colon Santa FE,Argentina,1675.6988982,2012.08.07
13,14,Crucero del Norte,Argentina,1572.01571704,2012.08.07
14,15,Defensa y Justicia,Argentina,1557.25167889,2012.08.07
15,16,Estudiantes L.P.,Argentina,1669.68442842,2012.08.07
16,17,Gimnasia Jujuy,Argentina,1527.35952934,2012.08.07
17,18,Gimnasia L.P.,Argentina,1538.75720153,2012.08.07
18,19,Godoy Cruz,Argentina,1558.9192655,2012.08.07
19,20,Huracan,Argentina,1449.18576911,2012.08.07
20,21,Huracan Tres Arroyos,Argentina,1389.36413036,2012.08.07
21,22,Independiente,Argentina,1600.34452044,2012.08.07
22,23,Instituto,Argentina,1449.4664889,2012.08.07
23,24,Lanus,Argentina,1679.23904777,2012.08.07
24,25,Newells Old Boys,Argentina,1628.83921777,2012.08.07
25,26,Nueva Chicago,Argentina,1515.5089341,2012.08.07
26,27,Olimpo Bahia Blanca,Argentina,1506.54081868,2012.08.07
27,28,Patronato,Argentina,1554.60903886,2012.08.07
28,29,Quilmes,Argentina,1534.41519816,2012.08.07
29,30,Racing Club,Argentina,1613.59425585,2012.08.07
30,31,River Plate,Argentina,1620.11601176,2012.08.07
31,32,Rosario Central,Argentina,1633.63230838,2012.08.07
32,33,San Lorenzo,Argentina,1607.76520847,2012.08.07
33,34,San Martin S.J.,Argentina,1540.195072,2012.08.07
34,35,San Martin T.,Argentina,1566.63706809,2012.08.07
35,36,Sarmiento Junin,Argentina,1591.98456092,2012.08.07
36,37,Talleres Cordoba,Argentina,1619.20056794,2012.08.07
37,38,Temperley,Argentina,1572.01571704,2012.08.07
38,39,Tigre,Argentina,1714.8376546,2012.08.07
39,40,Tiro Federal,Argentina,1449.3034646,2012.08.07
40,41,Union de Santa Fe,Argentina,1561.89553897,2012.08.07
41,42,Velez Sarsfield,Argentina,1763.16558849,2012.08.07
42,101,1 de Mayo,Bolivia,1347.91196971,2012.08.07
43,102,Always Ready,Bolivia,1424.92530412,2012.08.07
44,103,Aurora,Bolivia,1547.59569056,2012.08.07
45,104,Bermejo,Bolivia,1424.92530412,2012.08.07
46,105,Blooming,Bolivia,1449.59586489,2012.08.07
47,106,Bolivar,Bolivia,1574.51906109,2012.08.07
48,107,Central Union,Bolivia,1313.5730585,2012.08.07
49,108,Ciclon,Bolivia,1411.18490641,2012.08.07
50,109,Destroyers,Bolivia,1351.8977638,2012.08.07
51,110,Fancesa,Bolivia,1406.16867959,2012.08.07
52,111,Guabira,Bolivia,1307.40372176,2012.08.07
53,112,Iberoamericana,Bolivia,1186.3307265,2012.08.07
54,113,Independiente,Bolivia,1293.5407958,2012.08.07
55,114,Industrial Aviles,Bolivia,1424.92530412,2012.08.07
56,115,La Paz,Bolivia,1365.04310475,2012.08.07
57,116,Mariscal,Bolivia,1283.72598572,2012.08.07
58,117,Nacional Potosi,Bolivia,1437.87291892,2012.08.07
59,118,Oriente Petrolero,Bolivia,1593.21496563,2012.08.07
60,119,Petrolero de Yacuiba,Bolivia,1424.92530412,2012.08.07
61,120,Real Mamore,Bolivia,1208.58157742,2012.08.07
62,121,Real Potosi,Bolivia,1532.07822343,2012.08.07
63,122,Royal Pari,Bolivia,1424.92530412,2012.08.07
64,123,San Jose,Bolivia,1560.87455127,2012.08.07
65,124,Santa Cruz,Bolivia,1356.04454568,2012.08.07
66,125,Sport Boys,Bolivia,1424.92530412,2012.08.07
67,126,The Strongest,Bolivia,1573.54290868,2012.08.07
68,127,U. Pando,Bolivia,1424.92530412,2012.08.07
69,128,U. Sucre,Bolivia,1510.09416663,2012.08.07
70,129,Universitario Beni,Bolivia,1424.92530412,2012.08.07
71,130,Wilstermann,Bolivia,1427.83879492,2012.08.07
72,201,America MG,Brasil,1596.56584635,2012.08.07
73,202,America RN,Brasil,1427.70563118,2012.08.07
74,203,Athletico-PR,Brasil,1674.05291985,2012.08.07
75,204,Atletico GO,Brasil,1610.26132242,2012.08.07
76,205,Atletico-MG,Brasil,1754.88351794,2012.08.07
77,206,Avai,Brasil,1575.11117688,2012.08.07
78,207,Bahia,Brasil,1594.24078033,2012.08.07
79,208,Barueri,Brasil,1563.64801482,2012.08.07
80,209,Betim,Brasil,1523.24740209,2012.08.07
81,210,Botafogo RJ,Brasil,1689.27359904,2012.08.07
82,211,Brasiliense,Brasil,1508.72561698,2012.08.07
83,212,Ceara,Brasil,1602.14921334,2012.08.07
84,213,Chapecoense-SC,Brasil,1579.22860401,2012.08.07
85,214,Corinthians,Brasil,1801.90374843,2012.08.07
86,215,Coritiba,Brasil,1687.50075744,2012.08.07
87,216,Criciuma,Brasil,1497.80686359,2012.08.07
88,217,Cruzeiro,Brasil,1716.97415879,2012.08.07
89,218,Figueirense,Brasil,1615.65578182,2012.08.07
90,219,Flamengo RJ,Brasil,1692.54099981,2012.08.07
91,220,Fluminense,Brasil,1826.93491086,2012.08.07
92,221,Fortaleza,Brasil,1542.88974255,2012.08.07
93,222,Gama,Brasil,1545.39076989,2012.08.07
94,223,Goias,Brasil,1609.07132322,2012.08.07
95,224,Gremio,Brasil,1776.55149431,2012.08.07
96,225,Guarani,Brasil,1540.08638227,2012.08.07
97,226,Internacional,Brasil,1784.99320945,2012.08.07
98,227,Joinville,Brasil,1604.49952105,2012.08.07
99,228,Juventude,Brasil,1551.3328065,2012.08.07
100,229,Nautico,Brasil,1552.898806,2012.08.07
101,230,Palmeiras,Brasil,1717.94825604,2012.08.07
102,231,Parana,Brasil,1512.99605737,2012.08.07
103,232,Paysandu PA,Brasil,1517.48792265,2012.08.07
104,233,Ponte Preta,Brasil,1583.1408052,2012.08.07
105,234,Portuguesa,Brasil,1581.94866413,2012.08.07
106,235,Santa Cruz,Brasil,1488.90401456,2012.08.07
107,236,Santo Andre,Brasil,1587.34813944,2012.08.07
108,237,Santos,Brasil,1685.30548063,2012.08.07
109,238,Sao Caetano,Brasil,1547.80752534,2012.08.07
110,239,Sao Paulo,Brasil,1765.45325276,2012.08.07
111,240,Sport Recife,Brasil,1550.7568777,2012.08.07
112,241,Vasco,Brasil,1818.50798564,2012.08.07
113,242,Vitoria,Brasil,1652.64232866,2012.08.07
114,301,A. Italiano,Chile,1646.28188493,2012.08.07
115,302,Antofagasta,Chile,1494.68025245,2012.08.07
116,303,Barnechea,Chile,1572.4513339,2012.08.07
117,304,C.D.S. Naval,Chile,1491.86233964,2012.08.07
118,305,Cobreloa,Chile,1584.10205019,2012.08.07
119,306,Cobresal,Chile,1503.40921386,2012.08.07
120,307,Colo Colo,Chile,1671.38315058,2012.08.07
121,308,Coquimbo,Chile,1403.03374575,2012.08.07
122,309,Curico Unido,Chile,1535.5994607,2012.08.07
123,310,D. Concepcion,Chile,1574.17165806,2012.08.07
124,311,D. Puerto Montt,Chile,1489.03561426,2012.08.07
125,312,Deportes Iquique,Chile,1630.77251605,2012.08.07
126,313,Deportes Temuco,Chile,1419.63492935,2012.08.07
127,314,Everton,Chile,1520.57173253,2012.08.07
128,315,Huachipato,Chile,1579.20973171,2012.08.07
129,316,La Serena,Chile,1554.54665671,2012.08.07
130,317,Lota Schwager,Chile,1469.3850107,2012.08.07
131,318,Melipilla,Chile,1410.43562011,2012.08.07
132,319,Nublense,Chile,1510.8083559,2012.08.07
133,320,O'Higgins,Chile,1690.80600014,2012.08.07
134,321,Osorno,Chile,1406.05808508,2012.08.07
135,322,Palestino,Chile,1550.21951767,2012.08.07
136,323,Rangers,Chile,1598.34884302,2012.08.07
137,324,S. Morning,Chile,1545.6421794,2012.08.07
138,325,S. Wanderers,Chile,1529.80810589,2012.08.07
139,326,San Felipe,Chile,1476.6350989,2012.08.07
140,327,San Luis,Chile,1450.85969911,2012.08.07
141,328,San Marcos de Arica,Chile,1570.83174076,2012.08.07
142,329,U. Catolica,Chile,1727.38710278,2012.08.07
143,330,U. De Chile,Chile,1862.88788351,2012.08.07
144,331,U. De Concepcion,Chile,1576.36421584,2012.08.07
145,332,U. Espanola,Chile,1676.00871814,2012.08.07
146,333,Union La Calera,Chile,1609.61368389,2012.08.07
147,401,Aguilas,Colombia,1568.65958794,2012.08.07
148,402,America De Cali,Colombia,1499.37923966,2012.08.07
149,403,Atl. Nacional,Colombia,1606.64178145,2012.08.07
150,404,Bucaramanga,Colombia,1423.99119693,2012.08.07
151,405,Cartagena,Colombia,1427.88864923,2012.08.07
152,406,Centauros,Colombia,1397.80505517,2012.08.07
153,407,Chico,Colombia,1557.15152719,2012.08.07
154,408,Cortulua,Colombia,1319.4222688,2012.08.07
155,409,Cucuta,Colombia,1407.5548962,2012.08.07
156,410,Dep. Cali,Colombia,1585.0226121,2012.08.07
157,411,Dep. Pasto,Colombia,1547.89074245,2012.08.07
158,412,Deportes Tolima,Colombia,1640.38878627,2012.08.07
159,413,Envigado,Colombia,1475.11747779,2012.08.07
160,414,Fortaleza,Colombia,1490.77573448,2012.08.07
161,415,Huila,Colombia,1445.73295089,2012.08.07
162,416,Ind. Medellin,Colombia,1453.85810727,2012.08.07
163,417,Jaguares de Cordoba,Colombia,1459.45796213,2012.08.07
164,418,Junior,Colombia,1585.46482827,2012.08.07
165,419,La Equidad,Colombia,1523.13684686,2012.08.07
166,420,Leones,Colombia,1469.62005779,2012.08.07
167,421,Millonarios,Colombia,1563.92487199,2012.08.07
168,422,Once Caldas,Colombia,1547.98761739,2012.08.07
169,423,Patriotas,Colombia,1498.88275068,2012.08.07
170,424,Pereira,Colombia,1422.55253074,2012.08.07
171,425,Petrolera,Colombia,1422.05202706,2012.08.07
172,426,Quindio,Colombia,1452.7129113,2012.08.07
173,427,Santa Fe,Colombia,1633.13123325,2012.08.07
174,428,Tigres,Colombia,1458.77296943,2012.08.07
175,429,U. Magdalena,Colombia,1244.42548515,2012.08.07
176,430,Uniautonoma,Colombia,1474.03224355,2012.08.07
177,501,America de Quito,Equador,1459.84848758,2012.08.07
178,502,Aucas,Equador,1432.74313775,2012.08.07
179,503,Barcelona SC,Equador,1629.00431451,2012.08.07
180,504,Clan Juvenil,Equador,1459.84848758,2012.08.07
181,505,Delfin,Equador,1459.84848758,2012.08.07
182,506,Dep. Azogues,Equador,1393.87329474,2012.08.07
183,507,Dep. Cuenca,Equador,1517.02194839,2012.08.07
184,508,Dep. Quito,Equador,1620.4808189,2012.08.07
185,509,EL Nacional,Equador,1533.96680233,2012.08.07
186,510,Emelec,Equador,1626.48061735,2012.08.07
187,511,Espoli,Equador,1350.46658327,2012.08.07
188,512,Fuerza A.,Equador,1459.84848758,2012.08.07
189,513,Guayaquil City,Equador,1459.84848758,2012.08.07
190,514,Imbabura,Equador,1442.34845473,2012.08.07
191,515,Ind. del Valle,Equador,1522.27754558,2012.08.07
192,516,LDU Loja,Equador,1515.33941132,2012.08.07
193,517,LDU Portoviejo,Equador,1399.99305215,2012.08.07
194,518,LDU Quito,Equador,1632.98089926,2012.08.07
195,519,Macara,Equador,1436.74702592,2012.08.07
196,520,Manta,Equador,1517.24125895,2012.08.07
