,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1564.26973465,2013.02.05
1,2,All Boys,Argentina,1620.48078168,2013.02.05
2,3,Almagro,Argentina,1505.98894856,2013.02.05
3,4,Argentinos Jrs,Argentina,1579.98071181,2013.02.05
4,5,Arsenal Sarandi,Argentina,1714.57631245,2013.02.05
5,6,Atl. Rafaela,Argentina,1585.43658451,2013.02.05
6,7,Atl. Tucuman,Argentina,1524.6501576,2013.02.05
7,8,Banfield,Argentina,1466.90165021,2013.02.05
8,9,Belgrano,Argentina,1689.46091372,2013.02.05
9,10,Boca Juniors,Argentina,1745.27719556,2013.02.05
10,11,Central Cordoba,Argentina,1567.58381334,2013.02.05
11,12,Chacarita Juniors,Argentina,1498.52340903,2013.02.05
12,13,Colon Santa FE,Argentina,1652.34243559,2013.02.05
13,14,Crucero del Norte,Argentina,1572.01571704,2013.02.05
14,15,Defensa y Justicia,Argentina,1557.28247123,2013.02.05
15,16,Estudiantes L.P.,Argentina,1662.02757206,2013.02.05
16,17,Gimnasia Jujuy,Argentina,1528.69960023,2013.02.05
17,18,Gimnasia L.P.,Argentina,1539.50517678,2013.02.05
18,19,Godoy Cruz,Argentina,1519.50329499,2013.02.05
19,20,Huracan,Argentina,1449.91303457,2013.02.05
20,21,Huracan Tres Arroyos,Argentina,1390.47057154,2013.02.05
21,22,Independiente,Argentina,1589.70200544,2013.02.05
22,23,Instituto,Argentina,1451.24294816,2013.02.05
23,24,Lanus,Argentina,1743.73844245,2013.02.05
24,25,Newells Old Boys,Argentina,1699.03692449,2013.02.05
25,26,Nueva Chicago,Argentina,1517.0092251,2013.02.05
26,27,Olimpo Bahia Blanca,Argentina,1507.25426167,2013.02.05
27,28,Patronato,Argentina,1554.64786412,2013.02.05
28,29,Quilmes,Argentina,1510.16774028,2013.02.05
29,30,Racing Club,Argentina,1667.67838638,2013.02.05
30,31,River Plate,Argentina,1679.80348167,2013.02.05
31,32,Rosario Central,Argentina,1634.24530277,2013.02.05
32,33,San Lorenzo,Argentina,1617.18279992,2013.02.05
33,34,San Martin S.J.,Argentina,1554.2452828,2013.02.05
34,35,San Martin T.,Argentina,1567.45483561,2013.02.05
35,36,Sarmiento Junin,Argentina,1592.01581729,2013.02.05
36,37,Talleres Cordoba,Argentina,1620.53115287,2013.02.05
37,38,Temperley,Argentina,1572.01571704,2013.02.05
38,39,Tigre,Argentina,1668.68167875,2013.02.05
