,id,nome,pais,rate,date
0,1,Aldosivi,Argentina,1572.01571704,2004.12.07
1,2,All Boys,Argentina,1572.01571704,2004.12.07
2,3,Almagro,Argentina,1582.16674902,2004.12.07
3,4,Argentinos Jrs,Argentina,1520.26607071,2004.12.07
4,5,Arsenal Sarandi,Argentina,1630.35348235,2004.12.07
5,6,Atl. Rafaela,Argentina,1564.80937297,2004.12.07
6,7,Atl. Tucuman,Argentina,1572.01571704,2004.12.07
7,8,Banfield,Argentina,1637.32591968,2004.12.07
8,9,Belgrano,Argentina,1508.72363031,2004.12.07
9,10,Boca Juniors,Argentina,1696.70433359,2004.12.07
10,11,Central Cordoba,Argentina,1572.01571704,2004.12.07
11,12,Chacarita Juniors,Argentina,1513.83886525,2004.12.07
12,13,Colon Santa FE,Argentina,1562.30043118,2004.12.07
13,14,Crucero del Norte,Argentina,1572.01571704,2004.12.07
14,15,Defensa y Justicia,Argentina,1572.01571704,2004.12.07
15,16,Estudiantes L.P.,Argentina,1617.65247529,2004.12.07
16,17,Gimnasia Jujuy,Argentina,1572.01571704,2004.12.07
17,18,Gimnasia L.P.,Argentina,1537.08951702,2004.12.07
18,19,Godoy Cruz,Argentina,1572.01571704,2004.12.07
19,20,Huracan,Argentina,1367.33091468,2004.12.07
20,21,Huracan Tres Arroyos,Argentina,1483.52547838,2004.12.07
21,22,Independiente,Argentina,1528.80007917,2004.12.07
22,23,Instituto,Argentina,1529.80212477,2004.12.07
23,24,Lanus,Argentina,1605.63389511,2004.12.07
24,25,Newells Old Boys,Argentina,1688.22885091,2004.12.07
25,26,Nueva Chicago,Argentina,1473.12461518,2004.12.07
26,27,Olimpo Bahia Blanca,Argentina,1492.77899576,2004.12.07
27,28,Patronato,Argentina,1572.01571704,2004.12.07
28,29,Quilmes,Argentina,1600.55417028,2004.12.07
29,30,Racing Club,Argentina,1608.60195372,2004.12.07
30,31,River Plate,Argentina,1747.4835892,2004.12.07
31,32,Rosario Central,Argentina,1585.71318175,2004.12.07
32,33,San Lorenzo,Argentina,1664.99517858,2004.12.07
33,34,San Martin S.J.,Argentina,1572.01571704,2004.12.07
34,35,San Martin T.,Argentina,1572.01571704,2004.12.07
35,36,Sarmiento Junin,Argentina,1572.01571704,2004.12.07
36,37,Talleres Cordoba,Argentina,1626.88895953,2004.12.07
37,38,Temperley,Argentina,1572.01571704,2004.12.07
38,39,Tigre,Argentina,1572.01571704,2004.12.07
39,40,Tiro Federal,Argentina,1572.01571704,2004.12.07
40,41,Union de Santa Fe,Argentina,1491.00028741,2004.12.07
41,42,Velez Sarsfield,Argentina,1640.78455487,2004.12.07
42,101,1 de Mayo,Bolivia,1364.98835602,2004.12.07
43,102,Always Ready,Bolivia,1424.92530412,2004.12.07
44,103,Aurora,Bolivia,1422.45335266,2004.12.07
45,104,Bermejo,Bolivia,1424.92530412,2004.12.07
46,105,Blooming,Bolivia,1424.29903262,2004.12.07
47,106,Bolivar,Bolivia,1656.47333833,2004.12.07
48,107,Central Union,Bolivia,1340.70491091,2004.12.07
49,108,Ciclon,Bolivia,1424.92530412,2004.12.07
50,109,Destroyers,Bolivia,1424.92530412,2004.12.07
51,110,Fancesa,Bolivia,1406.16867959,2004.12.07
52,111,Guabira,Bolivia,1320.23971093,2004.12.07
53,112,Iberoamericana,Bolivia,1425.7705519,2004.12.07
54,113,Independiente,Bolivia,1293.5407958,2004.12.07
55,114,Industrial Aviles,Bolivia,1424.92530412,2004.12.07
56,115,La Paz,Bolivia,1391.19465113,2004.12.07
57,116,Mariscal,Bolivia,1283.72598572,2004.12.07
58,117,Nacional Potosi,Bolivia,1424.92530412,2004.12.07
59,118,Oriente Petrolero,Bolivia,1499.9220688,2004.12.07
60,119,Petrolero de Yacuiba,Bolivia,1424.92530412,2004.12.07
61,120,Real Mamore,Bolivia,1424.92530412,2004.12.07
62,121,Real Potosi,Bolivia,1491.12663412,2004.12.07
63,122,Royal Pari,Bolivia,1424.92530412,2004.12.07
64,123,San Jose,Bolivia,1445.27998536,2004.12.07
65,124,Santa Cruz,Bolivia,1356.04454568,2004.12.07
66,125,Sport Boys,Bolivia,1424.92530412,2004.12.07
67,126,The Strongest,Bolivia,1491.55811313,2004.12.07
68,127,U. Pando,Bolivia,1424.92530412,2004.12.07
69,128,U. Sucre,Bolivia,1424.92530412,2004.12.07
70,129,Universitario Beni,Bolivia,1424.92530412,2004.12.07
71,130,Wilstermann,Bolivia,1499.81217402,2004.12.07
72,201,America MG,Brasil,1604.49952105,2004.12.07
73,202,America RN,Brasil,1604.49952105,2004.12.07
74,203,Athletico-PR,Brasil,1774.13486595,2004.12.07
75,204,Atletico GO,Brasil,1604.49952105,2004.12.07
76,205,Atletico-MG,Brasil,1586.60433002,2004.12.07
77,206,Avai,Brasil,1604.49952105,2004.12.07
78,207,Bahia,Brasil,1511.23332532,2004.12.07
79,208,Barueri,Brasil,1604.49952105,2004.12.07
80,209,Betim,Brasil,1604.49952105,2004.12.07
81,210,Botafogo RJ,Brasil,1579.77856346,2004.12.07
82,211,Brasiliense,Brasil,1604.49952105,2004.12.07
83,212,Ceara,Brasil,1604.49952105,2004.12.07
84,213,Chapecoense-SC,Brasil,1604.49952105,2004.12.07
85,214,Corinthians,Brasil,1642.90999026,2004.12.07
86,215,Coritiba,Brasil,1628.03850043,2004.12.07
87,216,Criciuma,Brasil,1527.20583329,2004.12.07
88,217,Cruzeiro,Brasil,1602.38515135,2004.12.07
89,218,Figueirense,Brasil,1606.45246272,2004.12.07
90,219,Flamengo RJ,Brasil,1601.90407052,2004.12.07
91,220,Fluminense,Brasil,1611.04002043,2004.12.07
92,221,Fortaleza,Brasil,1564.06627289,2004.12.07
93,222,Gama,Brasil,1553.99727065,2004.12.07
